('Q108941', 'Фишер', 'PERSON')	Pred: ('Q2640102', 'Фишер')
('Q881', 'Вьетнам', 'COUNTRY')	Pred: ('Q881', 'Вьетнам')
('Q37922', 'Нобелевской премии по литературе', 'AWARD')	Pred: ('Q6461210', 'Список лауреатов Нобелевской премии по литературе')
('Q514442', 'Наш дом Израиль', 'ORGANIZATION')	Pred: ('Q514442', 'Наш дом Израиль')
('Q466610', 'Елены Батуриной', 'PERSON')	Pred: ('Q4468588', 'Убийство Анастасии Бабуровой')
('Q30', 'американский', 'NATIONALITY')	Pred: ('Q4398274', 'Россия 1-Урал')
('Q8246794', 'блогером', 'PROFESSION')	Pred: ('Q29881725', 'Прекрасное далеко')
('Q4304061', 'Института имени Склифосовского', 'FACILITY')	Pred: ('Q4304061', 'Институт имени Склифосовского')
('Q28389', 'сценаристов', 'PROFESSION')	Pred: ('Q28389', 'Сценарист')
('Q9960', 'Рональд Рейган', 'PERSON')	Pred: ('Q55655693', 'Рональд Рейган')
('Q866', 'YоuТubе', 'PRODUCT')	Pred: ('Q817280', 'Тоеакэ')
('Q1496283', 'Морено', 'DISTRICT')	Pred: ('Q1496283', 'Морено')
('Q495299', 'Галатасарай', 'ORGANIZATION')	Pred: ('Q43134', 'Галатасарай')
('Q47563', 'Маттео Ренци', 'PERSON')	Pred: ('Q47563', 'Маттео Ренци')
('Q186473', 'Совета Федерации Федерального Собрания Российской Федерации', 'ORGANIZATION')	Pred: ('Q186473', 'Совет Федерации Федерального Собрания Российской Федерации')
('Q35535', 'Полиция', 'ORGANIZATION')	Pred: ('Q751127', 'Полиция')
('Q1537', 'Висконсина', 'STATE_OR_PROVINCE')	Pred: ('Q15220026', 'Вилзени')
('Q2095549', 'пилота', 'PROFESSION')	Pred: ('Q324867', 'Примера')
('Q1246586', 'Мистерия-буфф', 'WORK_OF_ART')	Pred: ('Q4296515', 'Мистерия-буфф')
('Q4304150', 'Московского института востоковедения', 'ORGANIZATION')	Pred: ('Q4304150', 'Московский институт востоковедения')
('Q12132454', 'Народный депутат Украины', 'PROFESSION')	Pred: ('Q176296', 'Народный депутат Украины')
('Q1602522', 'Геликон-опера', 'FACILITY')	Pred: ('Q1602522', 'Геликон-опера')
('Q444270', 'Джеймс Ротман', 'PERSON')	Pred: ('Q444270', 'Джеймс Ротман')
('Q439054', 'Пелтиер', 'PERSON')	Pred: ('Q439054', 'Пелтиер')
('Q5503', 'Метро', 'WORK_OF_ART')	Pred: ('Q40176', 'Метро')
('Q181982', 'Западном полушарии', 'LOCATION')	Pred: ('Q181982', 'Западное полушарие')
('Q142', 'Франции', 'COUNTRY')	Pred: ('Q546607', 'Франция')
('Q15825118', 'Земельный суд Вены', 'ORGANIZATION')	Pred: ('Q42528143', 'Земельный суд Вельса')
('Q11247470', 'командира', 'PROFESSION')	Pred: ('Q1862797', 'Команда чудовищ')
('Q4313318', 'народный артист РТ', 'AWARD')	Pred: ('Q4313309', 'Народный артист Казахстана')
('Q162005', 'Полом Алленом', 'PERSON')	Pred: ('Q314403', 'Жильом Кане')
('Q5340', 'Мордовского', 'STATE_OR_PROVINCE')	Pred: ('Q627313', 'Мордовский')
('Q81328', 'Харрисоном Фордом', 'PERSON')	Pred: ('Q1243872', 'Симион Дорель')
('Q128736', 'Нэши', 'PERSON')	Pred: ('Q964151', 'Нэи')
('Q4402361', 'Константин Валентинович Рябинов', 'PERSON')	Pred: ('Q4402361', 'Константин Валентинович Рябинов')
('Q65', 'Лос-Анджелеса', 'CITY')	Pred: ('Q1247212', 'Закон Лос-Анджелеса')
('Q319497', 'Сергей Собянин', 'PERSON')	Pred: ('Q319497', 'Сергей Собянин')
('Q12091629', 'улице Соборности', 'FACILITY')	Pred: ('Q4174694', 'Еленинская улица')
('Q193159', 'Российской Армии', 'ORGANIZATION')	Pred: ('Q1078222', 'Армия Российской империи')
('Q141212', 'аспирант', 'PROFESSION')	Pred: ('Q10813665', 'Аспирант')
('Q383371', 'БЮТ', 'ORGANIZATION')	Pred: ('Q383371', 'БЮТ')
('Q263696', 'Дебби Рейнольдс', 'PERSON')	Pred: ('Q263696', 'Дебби Рейнольдс')
('Q311440', 'Антониу Гутерреш', 'PERSON')	Pred: ('Q311440', 'Антониу Гутерреш')
('Q364062', 'Бриллюэна', 'PERSON')	Pred: ('Q917246', 'Зона Бриллюэна')
('Q392651', 'агентов', 'PROFESSION')	Pred: ('Q24341059', 'Бесов')
('Q193595', 'Светлогорске', 'CITY')	Pred: ('Q4410336', 'Светлицкое')
('Q486839', 'парламентария', 'PROFESSION')	Pred: ('Q1888941', 'Парламент СССР')
('Q7747', 'Владимира Путина', 'PERSON')	Pred: ('Q1498647', 'Пик Владимира Путина')
('Q1174863', 'Давидом Черкасским', 'PERSON')	Pred: ('Q2485732', 'Давидов Александар')
('Q1037', 'Руанде', 'COUNTRY')	Pred: ('Q572277', 'Каанде')
('Q912340', 'Гражданская оборона', 'ORGANIZATION')	Pred: ('Q10427676', 'Гражданская оборона')
('Q39018', 'императору', 'PROFESSION')	Pred: ('Q1326831', 'Пленение императоров')
('Q127856', 'Беверли-Хиллз', 'CITY')	Pred: ('Q18988434', 'Беверли-Хиллз')
('Q242468', 'швеёй', 'PROFESSION')	Pred: ('Q1168408', 'Каякёй')
('Q2632355', 'Льву Константиновичу', 'PERSON')	Pred: ('Q18277147', 'Василий Львович Савельев')
('Q49542', 'Русская', 'NATIONALITY')	Pred: ('Q4400412', 'Русская')
('Q1268572', 'Король Швеции', 'PROFESSION')	Pred: ('Q182162', 'Король Швеции')
('Q44989', 'Талса', 'CITY')	Pred: ('Q489481', 'Талса')
('Q9671', 'Михаэль Шумахер', 'PERSON')	Pred: ('Q9671', 'Михаэль Шумахер')
('Q1980377', 'Валентин Янин', 'PERSON')	Pred: ('Q1980377', 'Валентин Янин')
('Q35749', 'парламента', 'ORGANIZATION')	Pred: ('Q4369001', 'Пока')
('Q4276463', 'Агропромышленное объединение „Макфа', 'ORGANIZATION')	Pred: ('Q12076671', 'Агропромышленная интеграция')
('Q188628', 'совет директоров', 'ORGANIZATION')	Pred: ('Q188628', 'Член совета директоров')
('Q42178', 'вице-президентом', 'PROFESSION')	Pred: ('Q2660216', 'Первый вице-президент Ирана')
('Q317824', 'Ким Чен Нам', 'PERSON')	Pred: ('Q317824', 'Ким Чен Нам')
('Q37922', 'нобелевского лауреата по литературе', 'AWARD')	Pred: ('Q37922', 'Нобелевская премия по литературе')
('Q26448', 'Пикадилли-сёркус', 'FACILITY')	Pred: ('Q257832', 'Колибри-сапфиры')
('Q212943', 'понтифик', 'PROFESSION')	Pred: ('Q952844', 'Понтифик')
('Q4204528', 'исторический факультет МГУ', 'ORGANIZATION')	Pred: ('Q28064984', 'Медицинский факультет МГУ')
('Q1394500', 'юге Лондона', 'LOCATION')	Pred: ('Q1476272', 'Истории юга')
('Q49085', 'афроамериканцам', 'NATIONALITY')	Pred: ('Q49085', 'Афроамериканец')
('Q1542344', 'Gramophone', 'ORGANIZATION')	Pred: ('Q2382629', 'Гора')
('Q156747', 'Полтаве', 'CITY')	Pred: ('Q4370845', 'Полтавское')
('Q1280772', 'Георг От', 'PERSON')	Pred: ('Q17142', 'Георг I')
('Q5470', 'чебоксарский', 'CITY')	Pred: ('Q48941821', 'Чебоксары II')
('Q76', 'Барака', 'PERSON')	Pred: ('Q1051987', 'Барака')
('Q49757', 'поэт', 'PROFESSION')	Pred: ('Q4533089', 'Это все')
('Q2235', 'Новгородский', 'CITY')	Pred: ('Q4103863', 'Новгородский')
('Q154568', 'Старой Пинакотеке', 'FACILITY')	Pred: ('Q98983', 'Анцелевский')
('Q27134289', 'генеральный секретарь Социалистической партии Португалии', 'PROFESSION')	Pred: ('Q847263', 'Социалистическая партия Португалии')
('Q391517', 'Роберта Генри Лоуренса-младшего', 'PERSON')	Pred: ('Q377506', 'Роберт Мэрион Лафоллет-младший')
('Q126898', 'Антибе', 'CITY')	Pred: ('Q735729', 'Себе')
('Q90', 'парижской', 'CITY')	Pred: ('Q656902', 'Паризии')
('Q9439', 'Виктории', 'PERSON')	Pred: ('Q752184', 'Мелии')
('Q2713920', 'Йюхи V Мусинги', 'PERSON')	Pred: ('Q3743127', 'Мыза Мустамяэ')
('Q202725', 'Мии Фэрроу', 'PERSON')	Pred: ('Q202725', 'Фэрроу Миа')
('Q28134890', 'городским судом', 'ORGANIZATION')	Pred: ('Q4258155', 'Ленинградский областной суд')
('Q193391', 'дипломат', 'PROFESSION')	Pred: ('Q660651', 'Меморандум')
('Q937857', 'футболисту', 'PROFESSION')	Pred: ('Q4476694', 'Уралтрансмаш')
('Q414', 'Аргентины', 'COUNTRY')	Pred: ('Q1791612', 'Культура Аргентины')
('Q203215', 'Карл Адольф фон Сюдов', 'PERSON')	Pred: ('Q203215', 'Карл Адольф фон Сюдов')
('Q57371', 'Алиева', 'PERSON')	Pred: ('Q771314', 'Алиага')
('Q4124226', 'Галина Волчек', 'PERSON')	Pred: ('Q4124226', 'Галина Волчек')
('Q15180', 'советской', 'COUNTRY')	Pred: ('Q9275841', 'Советско-польская граница')
('Q758861', 'Государственных премий', 'AWARD')	Pred: ('Q618779', 'Государственная награда')
('Q656', 'Санкт-Петербурга', 'CITY')	Pred: ('Q49236', 'Санкт-Петербург')
('Q33999', 'актёром', 'PROFESSION')	Pred: ('Q1059646', 'Шалёр')
('Q1342', 'Питтсбурга', 'CITY')	Pred: ('Q1342', 'Питтсбург')
('Q327071', 'Ревир', 'PERSON')	Pred: ('Q1949364', 'Ревари')
('Q846856', 'Эманации', 'WORK_OF_ART')	Pred: ('Q2334543', 'Эманация')
('Q177220', 'певец', 'PROFESSION')	Pred: ('Q47454420', 'Евец')
('Q4333889', 'олимпийский чемпион', 'AWARD')	Pred: ('Q4333889', 'Олимпийский чемпион')
('Q2285706', 'глава правительства', 'PROFESSION')	Pred: ('Q2285706', 'Глава правительства')
('Q192912', 'Фрай', 'PERSON')	Pred: ('Q121806', 'Фрай')
('Q218', 'Румыния', 'COUNTRY')	Pred: ('Q218', 'Румыния')
('Q30461', 'Президентом', 'PROFESSION')	Pred: ('Q153756', 'Президент Непала')
('Q36', 'польской', 'COUNTRY')	Pred: ('Q153071', 'Полька')
('Q4030858', '31 июня', 'WORK_OF_ART')	Pred: ('Q15784403', 'Восстание 31 мая — 2 июня')
('Q105044610', 'сотрудника ФСБ', 'PROFESSION')	Pred: ('Q62519', 'ФДР')
('Q98639298', 'Брухунова', 'PERSON')	Pred: ('Q4097238', 'Бруслинов')
('Q20718', 'Samsung Electronics', 'ORGANIZATION')	Pred: ('Q493064', 'Смартфоны Samsung')
('Q406', 'стамбульском', 'CITY')	Pred: ('Q780747', 'Паульсен')
('Q973841', 'Миша', 'WORK_OF_ART')	Pred: ('Q973841', 'Миша')
('Q40348', 'адвоката', 'PROFESSION')	Pred: ('Q2982634', 'Помощник адвоката')
('Q62766', 'Jay Z', 'PERSON')	Pred: ('Q1187394', 'Тай')
('Q270529', 'Евгения Максимовича', 'PERSON')	Pred: ('Q19909983', 'Екатерина Александровна Максимова')
('Q472018', '17 мгновений весны', 'WORK_OF_ART')	Pred: ('Q2920341', 'Первые дни весны')
('Q1062083', 'миллиардера', 'PROFESSION')	Pred: ('Q759447', 'Золотой ребенок')
('Q2571430', 'Сеспелю', 'PERSON')	Pred: ('Q20429561', 'Сепси')
('Q384593', 'офицером полиции', 'PROFESSION')	Pred: ('Q31028445', 'Генерал-лейтенант полиции')
('Q5809', 'Че Геварой', 'PERSON')	Pred: ('Q16014758', 'Челдаево')
('Q192959', 'Минской области', 'STATE_OR_PROVINCE')	Pred: ('Q1750642', 'Города Тульской области')
('Q200569', 'голландским', 'NATIONALITY')	Pred: ('Q4268471', 'Лук голландский')
('Q649', 'Московском', 'CITY')	Pred: ('Q1857770', 'Московская')
('Q1480', 'Акино', 'PERSON')	Pred: ('Q12552068', 'Акшат')
('Q1930187', 'журналисты', 'PROFESSION')	Pred: ('Q11030', 'Журналистика')
('Q76', 'Обама', 'PERSON')	Pred: ('Q1718336', 'Обама')
('Q145', 'британская', 'COUNTRY')	Pred: ('Q38272', 'Британские')
('Q13381572', 'гимнаст', 'PROFESSION')	Pred: ('Q393043', 'Жарув')
('Q2421092', 'Квант', 'WORK_OF_ART')	Pred: ('Q16481787', 'Квант')
('Q128736', 'Джон Нэш', 'PERSON')	Pred: ('Q128736', 'Джон Нэш')
('Q5407738', "'City Center", 'FACILITY')	Pred: ('Q24352371', 'Ситимов')
('Q3112727', 'губернатор Висконсина', 'PROFESSION')	Pred: ('Q4375980', 'Правительство Нунавута')
('Q1758037', 'спикером', 'PROFESSION')	Pred: ('Q490432', 'Микер')
('Q2000542', 'Михайловского замка', 'FACILITY')	Pred: ('Q13668139', 'Михайловский сад')
('Q5340', 'Мордовской', 'STATE_OR_PROVINCE')	Pred: ('Q28973565', 'Ледовской')
('Q48352', 'глава государства', 'PROFESSION')	Pred: ('Q327333', 'Органы государства')
('Q4145421', 'Боткинскую больницу', 'ORGANIZATION')	Pred: ('Q16629131', 'Ваныкинская больница')
('Q30461', 'Президент', 'PROFESSION')	Pred: ('Q30461', 'Президент')
('Q42884', 'немецкий', 'NATIONALITY')	Pred: ('Q4395191', 'Кирк немецкий')
('Q30547', 'матери Терезы', 'PERSON')	Pred: ('Q160598', 'Ересь')
('Q3555636', 'Глава Республике Башкортостан', 'PROFESSION')	Pred: ('Q3555636', 'Глава Республики Башкортостан')
('Q25369', 'Коби Брайант', 'PERSON')	Pred: ('Q25369', 'Коби Брайант')
('Q178473', 'Герою Советского Союза', 'AWARD')	Pred: ('Q178473', 'Герой Советского Союза')
('Q4276463', 'Макфа', 'ORGANIZATION')	Pred: ('Q4276463', 'Макфа')
('Q100', 'Бостона', 'CITY')	Pred: ('Q51256', 'Ортона')
('Q317824', 'Ким Чон Наму', 'PERSON')	Pred: ('Q626484', 'Ким Чон Хи')
